dataset,maximum_candidate_cutoff,seed,method,original_nominal_candidates_per_second,actual_candidate_count,latency_s_per_query,corrected_throughput
scifact,20,1,bm25_no_rerank,6641.126355653187,20.0,0.003011537340044015,6641.126355653187
scifact,20,1,fp32_reranker_cpu,64.7929886698259,20.0,0.3086753738420157,64.7929886698259
scifact,20,1,dynamic_int8_reranker_cpu,83.99281676567642,20.0,0.23811560047802777,83.99281676567642
scifact,20,2,bm25_no_rerank,6538.419020893606,20.0,0.00305884342011268,6538.419020893606
scifact,20,2,fp32_reranker_cpu,65.18958652697623,20.0,0.30679746667397195,65.18958652697623
scifact,20,2,dynamic_int8_reranker_cpu,82.52875442204041,20.0,0.24233977769400009,82.52875442204041
scifact,20,3,bm25_no_rerank,6833.567720294463,20.0,0.0029267288799383097,6833.567720294463
scifact,20,3,fp32_reranker_cpu,63.64161917331216,20.0,0.3142597605119845,63.64161917331216
scifact,20,3,dynamic_int8_reranker_cpu,83.03380090533453,20.0,0.2408657652899892,83.03380090533453
scifact,20,4,bm25_no_rerank,6290.621966627156,20.0,0.0031793358599679776,6290.621966627156
scifact,20,4,fp32_reranker_cpu,63.87475902136832,20.0,0.3131127272559934,63.87475902136832
scifact,20,4,dynamic_int8_reranker_cpu,83.29223052427166,20.0,0.24011843450598827,83.29223052427166
scifact,20,5,bm25_no_rerank,6561.450160614793,20.0,0.0030481066700849624,6561.450160614793
scifact,20,5,fp32_reranker_cpu,63.79852595808392,20.0,0.3134868666580187,63.79852595808392
scifact,20,5,dynamic_int8_reranker_cpu,83.40839300076485,20.0,0.23978402269201615,83.40839300076485
scifact,50,1,bm25_no_rerank,15932.349916885767,50.0,0.003138269009959913,15932.349916885767
scifact,50,1,fp32_reranker_cpu,62.980537659903234,50.0,0.7938960488079901,62.980537659903234
scifact,50,1,dynamic_int8_reranker_cpu,79.93458394579007,50.0,0.6255114811620078,79.93458394579007
scifact,50,2,bm25_no_rerank,15978.70322667464,50.0,0.003129165069949522,15978.70322667464
scifact,50,2,fp32_reranker_cpu,61.90647988582438,50.0,0.8076698932359941,61.90647988582438
scifact,50,2,dynamic_int8_reranker_cpu,79.54016970513906,50.0,0.6286131923700122,79.54016970513906
scifact,50,3,bm25_no_rerank,16731.554759470342,50.0,0.0029883654399600348,16731.554759470342
scifact,50,3,fp32_reranker_cpu,62.70024682317797,50.0,0.7974450266680105,62.70024682317797
scifact,50,3,dynamic_int8_reranker_cpu,80.77914598300951,50.0,0.6189716342200081,80.77914598300951
scifact,50,4,bm25_no_rerank,15698.396823742829,50.0,0.003185038610081392,15698.396823742829
scifact,50,4,fp32_reranker_cpu,61.83885833351315,50.0,0.8085530901999664,61.83885833351315
scifact,50,4,dynamic_int8_reranker_cpu,80.89394216542644,50.0,0.6180932547180237,80.89394216542644
scifact,50,5,bm25_no_rerank,16318.3245073804,50.0,0.0030640400598349517,16318.3245073804
scifact,50,5,fp32_reranker_cpu,62.85384901746226,50.0,0.7954962310440024,62.85384901746226
