dataset,maximum_candidate_cutoff,seed,int8_end_to_end_latency_s_per_query,fp32_end_to_end_latency_s_per_query,int8_fp32_end_to_end_latency_ratio
arguana,20,1,0.3100770187323651,0.3912411339343089,0.7925470811676677
arguana,20,2,0.3151279412981385,0.3969365998601279,0.7938999361842242
arguana,20,3,0.30974496960197573,0.3885886260880361,0.7971025110029903
arguana,20,4,0.3150180484420416,0.3946028450840822,0.7983167186108792
arguana,20,5,0.31345058472391973,0.3961350411778257,0.7912720465019686
arguana,50,1,0.6759820699716219,0.881686721287624,0.7666919027479636
arguana,50,2,0.6812303075636592,0.8827328134515847,0.7717287690937555
arguana,50,3,0.6728660742902575,0.8746400354142534,0.7693062826372563
arguana,50,4,0.6825291966281801,0.883459858092261,0.7725639035847428
arguana,50,5,0.6793089463557844,0.8822695289379626,0.7699562594817332
arguana,100,1,1.2825348708863893,1.6884510266202268,0.7595925796282288
arguana,100,2,1.2810838741041515,1.6844069616461492,0.7605548440931191
arguana,100,3,1.2815921070460754,1.680763322876097,0.7625059933203648
arguana,100,4,1.2920760994674203,1.6917033710554534,0.7637722555706054
arguana,100,5,1.2836290873678953,1.6800571825699444,0.7640389271776796
fiqa,20,1,0.2912784306738249,0.3738009084578589,0.7792341433184684
fiqa,20,2,0.2898143201079583,0.3751957623359558,0.7724349505004652
fiqa,20,3,0.2993524033437134,0.3708613599736782,0.8071814312630462
fiqa,20,4,0.29685241967412734,0.3699329941841425,0.802449157931456
fiqa,20,5,0.292188289553771,0.3622095566159187,0.8066829939100775
fiqa,50,1,0.6809842131858604,0.870552429519972,0.782243768547472
fiqa,50,2,0.6888896667954542,0.8466277876934765,0.8136865772764693
fiqa,50,3,0.693420923302372,0.8491105221604375,0.8166438940575886
fiqa,50,4,0.698180153934285,0.8477404757461336,0.8235777032113348
fiqa,50,5,0.6903597383759624,0.8361994598579622,0.8255921840624338
fiqa,100,1,1.3559385877266759,1.6490041174206125,0.8222772601972926
fiqa,100,2,1.349300081574096,1.6456825783942186,0.8199029990890959
fiqa,100,3,1.3326556385718578,1.6809499368537217,0.7927991246819786
fiqa,100,4,1.3274171499097285,1.6162664635638213,0.8212860811222994
fiqa,100,5,1.3673727361663623,1.6623456910583774,0.8225561888368643
nfcorpus,20,1,0.2028592247022025,0.26071118933011167,0.7780994180704028
nfcorpus,20,2,0.2053293883321603,0.25930647925611994,0.7918405622612852
nfcorpus,20,3,0.20207026456417954,0.2555844709860321,0.790620274324972
nfcorpus,20,4,0.20630017483416305,0.2589454247221729,0.7966936471478734
nfcorpus,20,5,0.20307413323597576,0.2577907856940219,0.7877478346996053
nfcorpus,50,1,0.48145303648842674,0.5993897868083877,0.803238638836429
nfcorpus,50,2,0.4920032176058812,0.6235105124779002,0.7890856814115381
nfcorpus,50,3,0.4694571784118307,0.5795976712618212,0.8099707809208282
nfcorpus,50,4,0.48667877494999995,0.6150276893720075,0.791311974013622
nfcorpus,50,5,0.46759450437407213,0.5925931323680852,0.789065007394701
nfcorpus,100,1,0.8711253995523293,1.1004878218703307,0.7915811354203001
nfcorpus,100,2,0.9075622861242082,1.1306272535242097,0.8027068897333766
nfcorpus,100,3,0.830630078033937,1.0450556352538989,0.7948190029444062
nfcorpus,100,4,0.9019968357157632,1.1250561322717547,0.8017349622319893
nfcorpus,100,5,0.9047866852718363,1.1087522378317662,0.8160404591752642
scifact,20,1,0.24112713781807177,0.3116869111820597,0.7736197099313766
scifact,20,2,0.24539862111411276,0.30985631009408465,0.7919755484069374
scifact,20,3,0.24379249416992751,0.31718648939192284,0.7686093270785312
scifact,20,4,0.24329777036595626,0.31629206311596136,0.7692187023888634
scifact,20,5,0.2428321293621011,0.3165349733281037,0.76715734381235
scifact,50,1,0.6286497501719678,0.7970343178179501,0.7887361135126896
scifact,50,2,0.6317423574399618,0.8107990583059437,0.7791602012462904
scifact,50,3,0.6219599996599682,0.8004333921079706,0.777029051751594
scifact,50,4,0.621278293328105,0.8117381288100477,0.7653678831606152
scifact,50,5,0.614925697127841,0.7985602711038373,0.7700429377457494
scifact,100,1,1.4291546874641137,1.8560371311781638,0.770003284663235
scifact,100,2,1.4761721477039973,1.9640430169840402,0.7515986844172022
scifact,100,3,1.3270269408420572,1.825359443468129,0.7269948642667031
scifact,100,4,1.4962119557556288,1.7423218683697415,0.8587460118121613
scifact,100,5,1.383877366324021,1.965426759663933,0.7041103717142069
