dataset,maximum_candidate_cutoff,seed,method,retrieval_latency_s_per_query,reranker_latency_s_per_query,end_to_end_latency_s_per_query,latency_boundary
scifact,20,1,bm25_no_rerank,0.003011537340044015,,0.003011537340044015,retrieval_only
scifact,20,1,fp32_reranker_cpu,0.003011537340044015,0.3086753738420157,0.3116869111820597,retrieval_plus_reranker
scifact,20,1,dynamic_int8_reranker_cpu,0.003011537340044015,0.23811560047802777,0.24112713781807177,retrieval_plus_reranker
scifact,20,2,bm25_no_rerank,0.00305884342011268,,0.00305884342011268,retrieval_only
scifact,20,2,fp32_reranker_cpu,0.00305884342011268,0.30679746667397195,0.30985631009408465,retrieval_plus_reranker
scifact,20,2,dynamic_int8_reranker_cpu,0.00305884342011268,0.24233977769400009,0.24539862111411276,retrieval_plus_reranker
scifact,20,3,bm25_no_rerank,0.0029267288799383097,,0.0029267288799383097,retrieval_only
scifact,20,3,fp32_reranker_cpu,0.0029267288799383097,0.3142597605119845,0.31718648939192284,retrieval_plus_reranker
scifact,20,3,dynamic_int8_reranker_cpu,0.0029267288799383097,0.2408657652899892,0.24379249416992751,retrieval_plus_reranker
scifact,20,4,bm25_no_rerank,0.0031793358599679776,,0.0031793358599679776,retrieval_only
scifact,20,4,fp32_reranker_cpu,0.0031793358599679776,0.3131127272559934,0.31629206311596136,retrieval_plus_reranker
scifact,20,4,dynamic_int8_reranker_cpu,0.0031793358599679776,0.24011843450598827,0.24329777036595626,retrieval_plus_reranker
scifact,20,5,bm25_no_rerank,0.0030481066700849624,,0.0030481066700849624,retrieval_only
scifact,20,5,fp32_reranker_cpu,0.0030481066700849624,0.3134868666580187,0.3165349733281037,retrieval_plus_reranker
scifact,20,5,dynamic_int8_reranker_cpu,0.0030481066700849624,0.23978402269201615,0.2428321293621011,retrieval_plus_reranker
scifact,50,1,bm25_no_rerank,0.003138269009959913,,0.003138269009959913,retrieval_only
scifact,50,1,fp32_reranker_cpu,0.003138269009959913,0.7938960488079901,0.7970343178179501,retrieval_plus_reranker
scifact,50,1,dynamic_int8_reranker_cpu,0.003138269009959913,0.6255114811620078,0.6286497501719678,retrieval_plus_reranker
scifact,50,2,bm25_no_rerank,0.003129165069949522,,0.003129165069949522,retrieval_only
scifact,50,2,fp32_reranker_cpu,0.003129165069949522,0.8076698932359941,0.8107990583059437,retrieval_plus_reranker
scifact,50,2,dynamic_int8_reranker_cpu,0.003129165069949522,0.6286131923700122,0.6317423574399618,retrieval_plus_reranker
scifact,50,3,bm25_no_rerank,0.0029883654399600348,,0.0029883654399600348,retrieval_only
scifact,50,3,fp32_reranker_cpu,0.0029883654399600348,0.7974450266680105,0.8004333921079706,retrieval_plus_reranker
scifact,50,3,dynamic_int8_reranker_cpu,0.0029883654399600348,0.6189716342200081,0.6219599996599682,retrieval_plus_reranker
scifact,50,4,bm25_no_rerank,0.003185038610081392,,0.003185038610081392,retrieval_only
scifact,50,4,fp32_reranker_cpu,0.003185038610081392,0.8085530901999664,0.8117381288100477,retrieval_plus_reranker
scifact,50,4,dynamic_int8_reranker_cpu,0.003185038610081392,0.6180932547180237,0.621278293328105,retrieval_plus_reranker
scifact,50,5,bm25_no_rerank,0.0030640400598349517,,0.0030640400598349517,retrieval_only
scifact,50,5,fp32_reranker_cpu,0.0030640400598349517,0.7954962310440024,0.7985602711038373,retrieval_plus_reranker
scifact,50,5,dynamic_int8_reranker_cpu,0.0030640400598349517,0.611861657068006,0.614925697127841,retrieval_plus_reranker
scifact,100,1,bm25_no_rerank,0.003090457930138655,,0.003090457930138655,retrieval_only
scifact,100,1,fp32_reranker_cpu,0.003090457930138655,1.852946673248025,1.8560371311781638,retrieval_plus_reranker
scifact,100,1,dynamic_int8_reranker_cpu,0.003090457930138655,1.426064229533975,1.4291546874641137,retrieval_plus_reranker
scifact,100,2,bm25_no_rerank,0.003228221960016526,,0.003228221960016526,retrieval_only
scifact,100,2,fp32_reranker_cpu,0.003228221960016526,1.9608147950240236,1.9640430169840402,retrieval_plus_reranker
scifact,100,2,dynamic_int8_reranker_cpu,0.003228221960016526,1.4729439257439807,1.4761721477039973,retrieval_plus_reranker
scifact,100,3,bm25_no_rerank,0.0033082918200670972,,0.0033082918200670972,retrieval_only
scifact,100,3,fp32_reranker_cpu,0.0033082918200670972,1.822051151648062,1.825359443468129,retrieval_plus_reranker
scifact,100,3,dynamic_int8_reranker_cpu,0.0033082918200670972,1.32371864902199,1.3270269408420572,retrieval_plus_reranker
scifact,100,4,bm25_no_rerank,0.0035071560996584594,,0.0035071560996584594,retrieval_only
scifact,100,4,fp32_reranker_cpu,0.0035071560996584594,1.738814712270083,1.7423218683697415,retrieval_plus_reranker
scifact,100,4,dynamic_int8_reranker_cpu,0.0035071560996584594,1.4927047996559704,1.4962119557556288,retrieval_plus_reranker
scifact,100,5,bm25_no_rerank,0.0039656753199597,,0.0039656753199597,retrieval_only
scifact,100,5,fp32_reranker_cpu,0.0039656753199597,1.9614610843439733,1.965426759663933,retrieval_plus_reranker
scifact,100,5,dynamic_int8_reranker_cpu,0.0039656753199597,1.3799116910040612,1.383877366324021,retrieval_plus_reranker
nfcorpus,20,1,bm25_no_rerank,0.0005954939301591367,,0.0005954939301591367,retrieval_only
nfcorpus,20,1,fp32_reranker_cpu,0.0005954939301591367,0.26011569539995255,0.26071118933011167,retrieval_plus_reranker
nfcorpus,20,1,dynamic_int8_reranker_cpu,0.0005954939301591367,0.20226373077204335,0.2028592247022025,retrieval_plus_reranker
nfcorpus,20,2,bm25_no_rerank,0.0006231124801342958,,0.0006231124801342958,retrieval_only
nfcorpus,20,2,fp32_reranker_cpu,0.0006231124801342958,0.25868336677598563,0.25930647925611994,retrieval_plus_reranker
nfcorpus,20,2,dynamic_int8_reranker_cpu,0.0006231124801342958,0.204706275852026,0.2053293883321603,retrieval_plus_reranker
nfcorpus,20,3,bm25_no_rerank,0.0006333618500866578,,0.0006333618500866578,retrieval_only
nfcorpus,20,3,fp32_reranker_cpu,0.0006333618500866578,0.25495110913594543,0.2555844709860321,retrieval_plus_reranker
nfcorpus,20,3,dynamic_int8_reranker_cpu,0.0006333618500866578,0.20143690271409287,0.20207026456417954,retrieval_plus_reranker
nfcorpus,20,4,bm25_no_rerank,0.0005599134601652622,,0.0005599134601652622,retrieval_only
nfcorpus,20,4,fp32_reranker_cpu,0.0005599134601652622,0.25838551126200765,0.2589454247221729,retrieval_plus_reranker
